APL_ID;Opened_Periods;Total_APLs_Opened;Total_Setup_Costs;Supplied_Customers;Underutilized_Most_Periods;Average_Demand
100mN29649E43165;[(1, 1)];1;5500.0;100mN29639E43161,100mN29639E43167,100mN29639E43170,100mN29641E43164,100mN29642E43155,100mN29642E43161,100mN29644E43165,100mN29645E43152,100mN29645E43155,100mN29645E43158,100mN29645E43161,100mN29645E43169,100mN29645E43173,100mN29645E43176,100mN29647E43170,100mN29648E43152,100mN29648E43157,100mN29648E43161,100mN29648E43167,100mN29648E43175,100mN29648E43176,100mN29649E43171,100mN29650E43152,100mN29650E43156,100mN29651E43158,100mN29651E43161,100mN29651E43167,100mN29651E43177,100mN29652E43164,100mN29653E43161,100mN29654E43155,100mN29654E43158,100mN29654E43168,100mN29654E43176,100mN29657E43160,100mN29657E43167,100mN29660E43168,100mN29662E43167;False;47106.86854990128
100mN29661E43200;[(1, 1)];1;5500.0;100mN29651E43197,100mN29651E43207,100mN29653E43210,100mN29654E43192,100mN29654E43195,100mN29654E43200,100mN29654E43203,100mN29654E43208,100mN29655E43209,100mN29657E43188,100mN29657E43191,100mN29657E43194,100mN29657E43197,100mN29657E43200,100mN29657E43206,100mN29659E43205,100mN29659E43206,100mN29660E43188,100mN29660E43191,100mN29660E43194,100mN29660E43198,100mN29660E43200,100mN29662E43203,100mN29663E43193,100mN29663E43194,100mN29663E43197,100mN29663E43200,100mN29666E43189,100mN29666E43191,100mN29666E43194,100mN29666E43197,100mN29666E43200,100mN29666E43203,100mN29667E43203,100mN29668E43195,100mN29668E43200,100mN29669E43198;False;45834.28741770418
100mN29630E43162;[(1, 1)];1;5500.0;100mN29621E43155,100mN29621E43158,100mN29621E43169,100mN29621E43172,100mN29624E43152,100mN29624E43155,100mN29624E43158,100mN29624E43164,100mN29624E43167,100mN29624E43171,100mN29626E43158,100mN29627E43154,100mN29627E43155,100mN29627E43161,100mN29627E43164,100mN29627E43167,100mN29627E43170,100mN29627E43173,100mN29630E43156,100mN29630E43160,100mN29630E43167,100mN29630E43170,100mN29633E43155,100mN29633E43161,100mN29633E43164,100mN29633E43167,100mN29633E43170,100mN29636E43155,100mN29636E43158,100mN29636E43162,100mN29636E43167,100mN29636E43173,100mN29639E43152,100mN29639E43155,100mN29639E43161,100mN29639E43165,100mN29639E43167,100mN29639E43170,100mN29639E43173,100mN29642E43155,100mN29642E43161,100mN29642E43168;False;46924.366299206245
100mN29665E43151;[(1, 1)];1;5500.0;100mN29658E43142,100mN29659E43143,100mN29660E43137,100mN29660E43146,100mN29660E43149,100mN29661E43138,100mN29663E43141,100mN29663E43143,100mN29663E43146,100mN29663E43149,100mN29663E43152,100mN29663E43156,100mN29666E43147,100mN29666E43149,100mN29666E43152,100mN29666E43156,100mN29668E43146,100mN29669E43149,100mN29669E43152,100mN29669E43155,100mN29669E43158,100mN29671E43151,100mN29671E43156,100mN29672E43152,100mN29675E43149,100mN29675E43152;False;22277.112685442604
100mN29606E43185;[(1, 1)];1;5500.0;100mN29599E43193,100mN29600E43189,100mN29602E43185,100mN29602E43188,100mN29603E43191,100mN29606E43179,100mN29606E43182,100mN29606E43185,100mN29606E43189,100mN29609E43176,100mN29609E43180;True;10755.497460010474
100mN29633E43200;[(1, 1)];1;5500.0;100mN29624E43209,100mN29627E43194,100mN29627E43197,100mN29627E43200,100mN29627E43203,100mN29627E43206,100mN29628E43206,100mN29629E43203,100mN29630E43193,100mN29630E43194,100mN29630E43197,100mN29630E43200,100mN29632E43194,100mN29633E43192,100mN29633E43197,100mN29633E43200,100mN29633E43203,100mN29634E43213,100mN29635E43200,100mN29635E43203,100mN29636E43198,100mN29636E43208,100mN29636E43209,100mN29637E43208,100mN29637E43209,100mN29638E43199,100mN29639E43202,100mN29639E43204,100mN29648E43199;False;31495.196939441557
100mN29671E43184;[(1, 1)];1;5500.0;100mN29660E43176,100mN29660E43182,100mN29660E43185,100mN29663E43178,100mN29663E43179,100mN29663E43182,100mN29663E43187,100mN29663E43188,100mN29665E43178,100mN29666E43179,100mN29666E43182,100mN29666E43185,100mN29666E43189,100mN29668E43176,100mN29668E43191,100mN29669E43174,100mN29669E43181,100mN29669E43182,100mN29669E43185,100mN29669E43188,100mN29672E43181,100mN29672E43182,100mN29672E43185,100mN29672E43188,100mN29674E43177,100mN29675E43180,100mN29675E43182,100mN29675E43185,100mN29675E43188,100mN29677E43178,100mN29678E43179,100mN29678E43183,100mN29678E43185,100mN29678E43188,100mN29678E43191,100mN29680E43185,100mN29680E43188,100mN29681E43180,100mN29681E43182,100mN29683E43182,100mN29684E43180;False;45163.67331157581
100mN29611E43167;[(1, 1)];1;5500.0;100mN29598E43166,100mN29600E43167,100mN29600E43170,100mN29603E43159,100mN29603E43169,100mN29603E43170,100mN29606E43159,100mN29606E43161,100mN29606E43164,100mN29606E43167,100mN29606E43170,100mN29606E43173,100mN29606E43176,100mN29609E43158,100mN29609E43161,100mN29609E43164,100mN29609E43167,100mN29609E43170,100mN29611E43179,100mN29612E43162,100mN29612E43164,100mN29612E43167,100mN29612E43170,100mN29612E43173,100mN29612E43176,100mN29613E43161,100mN29613E43176,100mN29615E43159,100mN29615E43165,100mN29615E43168,100mN29615E43170,100mN29615E43173,100mN29617E43161,100mN29617E43165,100mN29618E43158,100mN29618E43168,100mN29621E43158,100mN29621E43169,100mN29621E43172,100mN29624E43163,100mN29624E43164,100mN29624E43167;False;41318.08286715823
100mN29644E43182;[(1, 1)];1;5500.0;100mN29636E43173,100mN29636E43176,100mN29636E43179,100mN29636E43182,100mN29639E43170,100mN29639E43173,100mN29639E43176,100mN29639E43179,100mN29639E43182,100mN29642E43170,100mN29642E43173,100mN29642E43176,100mN29642E43179,100mN29642E43182,100mN29644E43188,100mN29645E43170,100mN29645E43173,100mN29645E43176,100mN29645E43179,100mN29645E43182,100mN29645E43185,100mN29647E43170,100mN29647E43193,100mN29648E43175,100mN29648E43176,100mN29648E43179,100mN29648E43185,100mN29648E43190,100mN29648E43194,100mN29650E43181,100mN29651E43167,100mN29651E43177,100mN29651E43184,100mN29651E43186,100mN29654E43173,100mN29654E43176,100mN29654E43182;False;46714.35266610258
100mN29645E43147;[(1, 1)];1;5500.0;100mN29636E43142,100mN29636E43147,100mN29639E43134,100mN29639E43140,100mN29639E43143,100mN29639E43147,100mN29639E43149,100mN29639E43152,100mN29639E43155,100mN29641E43146,100mN29641E43152,100mN29642E43134,100mN29642E43137,100mN29642E43140,100mN29642E43143,100mN29642E43158,100mN29645E43135,100mN29645E43137,100mN29645E43143,100mN29645E43146,100mN29645E43149,100mN29645E43152,100mN29645E43155,100mN29645E43158,100mN29647E43134,100mN29648E43137,100mN29648E43140,100mN29648E43143,100mN29648E43149,100mN29648E43152,100mN29648E43157,100mN29648E43158,100mN29650E43137,100mN29650E43156,100mN29651E43142,100mN29651E43143,100mN29651E43146,100mN29651E43149,100mN29653E43142,100mN29653E43144,100mN29654E43147,100mN29654E43149,100mN29654E43155,100mN29655E43148,100mN29657E43154;False;45445.2360933156
