from_apl;to_apl_100mN29649E43165;to_apl_100mN29661E43200;to_apl_100mN29630E43162;to_apl_100mN29665E43151;to_apl_100mN29606E43185;to_apl_100mN29633E43200;to_apl_100mN29671E43184;to_apl_100mN29638E43133;to_apl_100mN29611E43167;to_apl_100mN29644E43182;to_apl_100mN29645E43147;to_apl_100mN29683E43217;to_apl_100mN29641E43160;to_apl_100mN29631E43173;to_apl_100mN29655E43174;to_apl_100mN29631E43167;to_apl_100mN29617E43204;to_apl_100mN29658E43191;to_apl_100mN29684E43150;to_apl_100mN29638E43175;to_apl_100mN29647E43211;to_apl_100mN29643E43154;to_apl_100mN29608E43162;to_apl_100mN29648E43160;to_apl_100mN29660E43135;to_apl_100mN29658E43183;to_apl_100mN29622E43153;to_apl_100mN29637E43169;to_apl_100mN29678E43181;to_apl_100mN29621E43139;to_apl_100mN29682E43213;to_apl_100mN29677E43156;to_apl_100mN29624E43178;to_apl_100mN29608E43179;to_apl_100mN29655E43169;to_apl_100mN29646E43138;to_apl_100mN29652E43148;to_apl_100mN29667E43198;to_apl_100mN29677E43188;to_apl_100mN29644E43171;to_apl_100mN29636E43164;to_apl_100mN29655E43203;to_apl_100mN29634E43159;to_apl_100mN29646E43178;to_apl_100mN29628E43202;to_apl_100mN29664E43179;to_apl_100mN29625E43164;to_apl_100mN29663E43194;to_apl_100mN29599E43177;to_apl_100mN29647E43143;to_apl_100mN29667E43188;to_apl_100mN29610E43173;to_apl_100mN29606E43198;to_apl_100mN29633E43182;to_apl_100mN29654E43196;to_apl_100mN29653E43157;to_apl_100mN29665E43183;to_apl_100mN29629E43196;to_apl_100mN29637E43140;to_apl_100mN29682E43209;to_apl_hub
100mN29649E43165;0.0;4367.1;2248.8;3468.0;7064.0;4512.1;3483.6;3983.5;4457.7;2130.5;2236.9;7282.0;1203.0;2442.6;1383.9;2294.0;6494.7;3235.6;5122.1;1817.8;5073.6;1738.0;4894.0;618.6;4307.4;2465.8;3710.4;1787.7;3994.2;5145.2;6857.2;3930.4;3453.6;5583.9;893.6;3055.5;2114.0;4524.0;4542.9;1174.9;1593.5;4574.6;2117.1;1625.5;4822.4;2524.2;2758.1;4043.6;6552.6;2556.3;3368.7;4975.1;6654.5;3012.0;3733.1;1169.3;2869.4;4133.2;3376.7;6721.0;5911.8
100mN29661E43200;4367.1;0.0;5820.2;6634.7;9674.1;3874.8;2853.7;8192.4;7586.3;3251.1;6445.9;3291.8;5289.2;5209.9;3546.8;5411.2;6174.1;1270.0;7047.9;4286.1;2127.9;5946.9;8022.6;4903.7;7819.4;2898.2;7281.8;4739.6;3671.7;8921.4;3215.3;5985.1;5585.9;8712.5;3896.8;7264.5;6102.1;994.5;3275.9;4028.9;5208.6;929.9;5861.2;3417.5;4472.1;3060.6;6329.5;1087.9;9681.2;6742.1;2007.9;8049.2;7367.9;4668.2;1060.1;5083.2;2525.9;4421.1;7585.6;3190.5;5591.2
100mN29630E43162;2248.8;5820.2;0.0;5344.4;4919.6;4526.2;5308.5;3965.1;2313.2;2950.7;2940.1;8735.1;1269.8;1608.4;3314.8;571.7;5617.0;4688.7;6998.5;1725.5;6201.6;2441.1;2749.6;2041.5;5649.9;4163.5;1509.9;1272.5;6162.2;3149.5;8310.3;5806.8;2196.6;3439.4;2917.4;3721.6;3179.7;5977.1;6311.3;1931.5;761.5;6027.7;657.1;2677.6;4580.9;4437.0;557.6;5496.7;4408.2;3259.4;5137.1;2830.7;4935.7;2478.8;5186.2;2656.2;4637.8;3891.8;2910.8;8174.1;5670.3
100mN29665E43151;3468.0;6634.7;5344.4;0.0;10159.7;7403.8;4767.3;6205.6;7553.4;4972.2;4370.8;8892.1;4130.8;5729.9;3413.0;5421.4;9490.2;5658.3;2983.7;5105.1;7633.5;4405.2;7989.7;3357.9;1937.0;4347.5;6596.5;5075.0;5009.4;7732.2;8319.5;2603.5;6740.9;8679.5;2939.4;5181.1;3880.9;6032.7;5381.3;4188.2;4779.8;6997.3;4976.2;4467.2;7818.0;3807.8;5853.7;5871.3;9648.3;4620.6;4713.9;8070.8;9714.3;6299.3;6155.8;2871.2;4159.1;7128.8;5672.5;8000.1;8907.3
100mN29606E43185;7064.0;9674.1;4919.6;10159.7;0.0;5827.1;9871.4;8163.6;2933.2;7104.0;7566.6;12641.9;6085.0;5236.2;7927.8;4995.0;4288.2;8992.9;11813.8;5906.5;8165.6;7064.5;3583.5;6856.7;10465.1;8560.6;5027.1;5669.7;10725.2;6403.1;12548.0;10622.1;5151.8;1480.1;7668.4;8309.1;7840.3;10170.1;10860.0;6491.4;5576.7;9551.4;5546.6;6858.5;5725.2;9025.8;4362.0;9641.2;2545.0;7880.0;9685.8;2200.5;3237.4;6190.2;8698.0;7471.4;9200.8;5406.5;7498.2;12411.8;5026.5
100mN29633E43200;4512.1;3874.8;4526.2;7403.8;5827.1;0.0;5485.6;7802.9;5383.8;2715.5;6302.6;6827.9;4680.3;3189.3;4160.8;4117.2;2299.2;3495.0;8873.8;2928.9;2351.6;5803.6;5820.1;4881.4;8433.4;4092.6;5546.6;3559.2;6339.3;7186.2;6751.4;7682.1;2964.0;6304.1;4510.8;7121.1;6400.5;4370.8;5960.7;3697.4;4226.8;3647.6;4668.3;3040.8;597.3;5150.1;4297.1;3841.9;7478.7;6621.9;4692.7;5901.2;3494.9;2302.3;2898.8;5393.3;4814.9;702.2;6748.6;6612.5;1716.3
100mN29671E43184;3483.6;2853.7;5308.5;4767.3;9871.4;5485.6;0.0;7365.5;7265.1;3500.8;5561.5;4177.2;4462.2;4930.5;2239.3;5065.2;7784.8;2278.2;4310.5;4010.5;4694.8;5119.9;7701.4;4013.1;6293.6;1532.9;6770.1;4393.7;1020.4;8409.7;3604.6;3380.5;5924.2;8391.3;2625.4;6371.8;5120.0;2251.7;1108.6;3461.0;4692.3;3319.8;5302.9;3283.5;6082.9;959.4;5817.8;2090.3;9360.0;5811.3;845.8;7728.0;8148.7;5154.8;2931.3;4061.9;738.8;5593.9;6758.6;3381.9;7201.9
100mN29638E43133;3983.5;8192.4;3965.1;6205.6;8163.6;7802.9;7365.5;0.0;5447.6;5853.1;1988.0;11107.4;3547.9;4932.2;5294.0;4263.2;9379.7;7060.9;7859.7;4938.9;8899.0;2482.7;5440.4;3538.3;4939.3;6291.2;3383.4;4362.1;7613.2;2997.5;10682.6;6668.0;5871.3;6683.5;4803.7;1930.8;2883.8;8349.4;7985.1;4521.4;3755.0;8400.0;3407.8;5450.8;7960.4;6436.9;4498.9;7869.0;7568.2;1924.4;7194.1;5983.0;8698.3;5755.5;7558.5;3361.6;6694.8;7271.3;1150.7;10546.4;9049.8
100mN29611E43167;4457.7;7586.3;2313.2;7553.4;2933.2;5383.8;7265.1;5447.6;0.0;4497.6;4879.3;10501.2;3478.7;2629.9;5321.4;2388.7;5759.2;6454.8;9207.5;3300.2;7292.2;4377.2;684.6;4250.4;7858.8;5954.3;2311.0;3063.4;8118.8;3687.0;10076.4;8015.8;2545.5;1453.1;5062.1;5621.9;5153.1;7743.2;8253.7;3885.1;2970.4;7771.8;2940.3;4252.2;5370.7;6419.5;1755.6;7262.8;2194.6;5192.8;7079.5;752.5;4904.4;3583.9;6784.4;4865.1;6594.5;4681.6;4811.0;9940.2;6460.1
100mN29644E43182;2130.5;3251.1;2950.7;4972.2;7104.0;2715.5;3500.8;5853.1;4497.6;0.0;4154.2;6321.9;2730.5;2117.8;1710.2;2541.7;4866.3;2459.2;6442.2;1225.2;3569.0;3655.2;4934.0;2667.1;6001.8;2107.8;4412.3;1882.2;4354.5;6052.0;6080.8;5250.5;2841.3;5623.8;2079.2;4972.8;3967.7;3728.0;4489.4;1445.7;2351.3;3458.6;3003.9;505.0;3194.0;2699.5;3255.5;3199.1;6592.6;4473.6;3315.1;4960.5;5089.3;1989.5;2394.7;2960.6;2830.2;2504.8;4798.7;5944.6;4283.4
