from_apl;to_apl_100mN29650E43212;to_apl_100mN29637E43165;to_apl_100mN29656E43172;to_apl_100mN29658E43184;to_apl_100mN29644E43182;to_apl_100mN29624E43164;to_apl_100mN29630E43163;to_apl_100mN29650E43143;to_apl_100mN29633E43182;to_apl_100mN29644E43171;to_apl_100mN29626E43200;to_apl_100mN29647E43154;to_apl_100mN29649E43164;to_apl_100mN29640E43158;to_apl_100mN29632E43201;to_apl_100mN29659E43199;to_apl_100mN29654E43156;to_apl_100mN29664E43184;to_apl_100mN29654E43149;to_apl_100mN29634E43172;to_apl_100mN29659E43192;to_apl_100mN29607E43166;to_apl_100mN29616E43166;to_apl_100mN29611E43173;to_apl_100mN29670E43185;to_apl_100mN29610E43179;to_apl_100mN29665E43194;to_apl_100mN29644E43145;to_apl_100mN29625E43180;to_apl_100mN29645E43137;to_apl_100mN29676E43183;to_apl_100mN29655E43205;to_apl_100mN29653E43199;to_apl_100mN29679E43192;to_apl_100mN29653E43193;to_apl_100mN29680E43214;to_apl_100mN29665E43178;to_apl_100mN29628E43194;to_apl_100mN29607E43160;to_apl_100mN29609E43200;to_apl_hub
100mN29650E43212;0.0;5696.7;4720.0;4339.5;3658.9;6679.1;6388.5;7478.0;4595.4;4715.0;3833.3;6645.0;5199.8;6285.7;2905.5;1825.9;6209.3;4085.8;6992.1;5412.7;2701.4;8276.5;7343.4;8145.1;4087.4;8614.6;2760.2;7419.7;5024.9;8224.1;4760.1;951.1;1537.6;4393.6;2413.7;3612.8;4735.9;3679.2;8346.7;5397.8;3992.9
100mN29637E43165;5696.7;0.0;2511.8;3914.6;2199.0;1518.9;847.9;3171.2;2037.8;1163.1;4129.8;1981.8;1555.7;955.0;4163.9;4908.1;2377.5;3813.8;2809.9;1073.7;4099.7;3542.7;2576.4;3411.4;4602.4;3880.9;4771.2;2707.3;2277.5;3560.9;5078.2;5338.3;4561.7;6017.3;4112.2;7592.8;3799.6;3605.1;3613.0;5186.9;5332.2
100mN29656E43172;4720.0;2511.8;0.0;1977.8;1949.8;3900.3;3229.3;3452.4;3447.7;1651.7;4737.7;2789.8;1311.5;2657.4;4625.0;3638.1;2042.6;1840.9;2784.5;2885.0;2829.8;5924.1;4957.8;5792.8;2376.2;6262.3;3090.1;3578.5;4002.3;4324.1;2851.9;4168.1;3526.7;3791.1;2862.3;5932.3;1485.4;4299.9;5994.4;6410.9;5940.0
100mN29658E43184;4339.5;3914.6;1977.8;0.0;2837.9;5303.1;4632.1;5105.6;4507.5;2835.6;5507.2;4396.1;2950.9;4140.6;5047.3;2706.0;3834.1;804.7;4619.7;4028.8;2101.2;7124.6;6158.3;6993.3;1685.1;7462.8;1707.4;5170.8;5146.2;5977.3;2160.9;3438.2;3219.5;2987.6;2730.1;4549.5;1466.6;5069.4;7194.9;7149.7;6539.0
100mN29644E43182;3658.9;2199.0;1949.8;2837.9;0.0;3366.3;2899.8;4444.9;1989.5;1445.7;3081.0;3556.9;2166.7;2947.7;2940.1;3102.8;3185.3;2760.3;3959.0;1924.0;2634.0;4996.9;4030.5;4865.5;3563.1;5335.0;3305.5;4331.5;2747.4;5135.9;4038.9;3270.0;2493.4;4978.1;2044.0;5943.4;2830.5;2643.3;5067.1;4753.2;4283.4
100mN29624E43164;6679.1;1518.9;3900.3;5303.1;3366.3;0.0;670.9;4160.1;2539.5;2551.5;4245.3;2970.6;2834.5;1917.7;4374.6;6292.0;3363.9;5202.3;3798.8;1636.5;5483.6;2238.7;1326.9;2107.3;5990.8;2576.8;6155.1;3498.7;2013.1;4458.4;6466.6;6408.2;5631.6;7405.8;5302.3;8976.7;5188.0;3733.1;2308.9;4135.3;5484.1
100mN29630E43163;6388.5;847.9;3229.3;4632.1;2899.8;670.9;0.0;3481.3;2427.9;1880.6;4396.8;2291.8;2163.6;1246.8;4526.1;5621.0;2692.9;4531.3;3119.9;1295.6;4812.7;2815.1;1903.3;2683.7;5319.9;3153.2;5484.1;2897.9;2164.6;3857.6;5795.7;6051.2;5274.7;6734.9;4825.2;8305.8;4517.1;3884.6;2885.3;4659.9;5635.6
100mN29650E43143;7478.0;3171.2;3452.4;5105.6;4444.9;4160.1;3481.3;0.0;4924.4;3366.9;7016.4;1458.3;2483.8;2293.1;6969.6;6431.1;1670.3;5004.8;1037.8;3971.2;5622.7;5964.7;5053.8;5907.3;5710.8;6383.8;6256.8;688.8;5245.8;1010.3;5682.6;6961.0;6287.4;6643.8;5655.2;9115.8;4820.0;6491.6;5786.0;7951.9;8218.7
100mN29633E43182;4595.4;2037.8;3447.7;4507.5;1989.5;2539.5;2427.9;4924.4;0.0;2204.9;2383.6;3735.0;2977.7;2850.2;2380.9;4519.9;4097.0;4414.2;4563.1;1423.8;4161.9;4083.1;3171.3;3951.7;5217.1;4421.2;4766.7;4509.7;1026.6;5314.1;5692.9;4435.5;3659.0;6632.0;3509.3;7369.3;4413.3;1858.8;4153.3;3597.9;3585.9
100mN29644E43171;4715.0;1163.1;1651.7;2835.6;1445.7;2551.5;1880.6;3366.9;2204.9;0.0;3894.7;2177.5;1140.6;1793.0;3789.3;3880.6;2270.7;2734.8;2927.8;1373.6;3072.2;4384.3;3418.0;4253.0;3523.4;4722.5;3743.7;2952.2;2649.2;3756.6;3999.2;4310.8;3534.2;4938.3;3084.7;6565.3;2720.6;3457.0;4454.5;5511.2;5097.0
