Time (Month);Avg. APL capacity per month : Model-V2-S1;E-shopper share : Model-V2-S1;E-shoppers growth rate : Model-V2-S1;Potential e-customers : Model-V2-S1;APL market growth rate : Model-V2-S1;APL market share : Model-V2-S1;APL users : Model-V2-S1;Initial online purchases per month : Model-V2-S1;Market Size : Model-V2-S1;Number of APLs : Model-V2-S1;Number of deliveries : Model-V2-S1;Online purchase growth rate : Model-V2-S1;Online purchases per month : Model-V2-S1;Population : Model-V2-S1;Population growth rate : Model-V2-S1
0;4000;0.63;0.000833333;87037;0.00166667;0.19;16537;5;138154;20;82685;0.00166667;5;138154;0.000666667
1;4000;0.63;0.000833333;87109.5;0.00166667;0.19;16564;5;138246;20;82958;0.00166667;5.00833;138154;0.000666667
2;4000;0.63;0.000833333;87182.1;0.00166667;0.19;16591;5;138338;20;83231;0.00166667;5.01667;138154;0.000666667
3;4000;0.63;0.000833333;87254.8;0.00166667;0.19;16618;5;138430;20;83505;0.00166667;5.025;138154;0.000666667
4;4000;0.63;0.000833333;87327.4;0.00166667;0.19;16645;5;138522;20;83779;0.00166667;5.03333;138154;0.000666667
5;4000;0.63;0.000833333;87400.2;0.00166667;0.19;16672;5;138615;21;84054;0.00166667;5.04167;138154;0.000666667
6;4000;0.63;0.000833333;87472.9;0.00166667;0.19;16699;5;138707;21;84329;0.00166667;5.05;138154;0.000666667
7;4000;0.63;0.000833333;87545.8;0.00166667;0.19;16726;5;138799;21;84605;0.00166667;5.05833;138154;0.000666667
8;4000;0.63;0.000833333;87618.6;0.00166667;0.19;16753;5;138891;21;84881;0.00166667;5.06667;138154;0.000666667
9;4000;0.63;0.000833333;87691.5;0.00166667;0.19;16780;5;138983;21;85158;0.00166667;5.075;138154;0.000666667
10;4000;0.63;0.000833333;87764.5;0.00166667;0.19;16807;5;139075;21;85435;0.00166667;5.08333;138154;0.000666667
11;4000;0.63;0.000833333;87837.5;0.00166667;0.19;16834;5;139167;21;85713;0.00166667;5.09167;138154;0.000666667
