Time (Month);Avg. parcels per APL per month : S1;Avg. purchase per month : S1;E-shopper share : S1;E-shoppers growth rate : S1;Potential e-customers : S1;APL market growth rate : S1;APL market share : S1;APL users : S1;Market Size : S1;Number of APLs : S1;Number of deliveries : S1;Online purchase growth rate : S1;Population : S1;Population growth rate : S1;Purchases per month : S1
0;6000;5;0.63;0.000833333;82729.1;0.00166667;0.19;15718;131316;13;78590;0.00166667;131316;0.000666667;5
1;6000;5;0.63;0.000833333;82798;0.00166667;0.19;15744;131404;13;78851;0.00166667;131316;0.000666667;5.00833
2;6000;5;0.63;0.000833333;82867;0.00166667;0.19;15770;131491;13;79112;0.00166667;131316;0.000666667;5.01667
3;6000;5;0.63;0.000833333;82936;0.00166667;0.19;15796;131579;13;79374;0.00166667;131316;0.000666667;5.025
4;6000;5;0.63;0.000833333;83005.1;0.00166667;0.19;15822;131666;13;79637;0.00166667;131316;0.000666667;5.03333
5;6000;5;0.63;0.000833333;83074.2;0.00166667;0.19;15848;131754;13;79900;0.00166667;131316;0.000666667;5.04167
6;6000;5;0.63;0.000833333;83143.4;0.00166667;0.19;15874;131841;13;80163;0.00166667;131316;0.000666667;5.05
7;6000;5;0.63;0.000833333;83212.6;0.00166667;0.19;15900;131929;13;80427;0.00166667;131316;0.000666667;5.05833
8;6000;5;0.63;0.000833333;83281.9;0.00166667;0.19;15926;132016;13;80691;0.00166667;131316;0.000666667;5.06667
9;6000;5;0.63;0.000833333;83351.2;0.00166667;0.19;15952;132104;13;80956;0.00166667;131316;0.000666667;5.075
10;6000;5;0.63;0.000833333;83420.6;0.00166667;0.19;15978;132191;13;81221;0.00166667;131316;0.000666667;5.08333
11;6000;5;0.63;0.000833333;83490;0.00166667;0.19;16004;132279;13;81487;0.00166667;131316;0.000666667;5.09167
12;6000;5;0.63;0.000833333;83559.4;0.00166667;0.19;16030;132367;13;81752;0.00166667;131316;0.000666667;5.1
13;6000;5;0.63;0.000833333;83628.9;0.00166667;0.19;16056;132454;13;82019;0.00166667;131316;0.000666667;5.10833
14;6000;5;0.63;0.000833333;83698.4;0.00166667;0.19;16082;132542;13;82286;0.00166667;131316;0.000666667;5.11667
15;6000;5;0.63;0.000833333;83768;0.00166667;0.19;16108;132629;13;82553;0.00166667;131316;0.000666667;5.125
16;6000;5;0.63;0.000833333;83837.6;0.00166667;0.19;16134;132717;13;82821;0.00166667;131316;0.000666667;5.13333
17;6000;5;0.63;0.000833333;83907.3;0.00166667;0.19;16160;132804;13;83089;0.00166667;131316;0.000666667;5.14167
18;6000;5;0.63;0.000833333;83977;0.00166667;0.19;16186;132892;13;83357;0.00166667;131316;0.000666667;5.15
