Test Case;Parameter;Minimize Walking Distances;Demand Scenario;Max Walking Distance Threshold;Setup Costs;APL Capacity (deliveries per month);Number of Vehicles;Vehicle Capacity ( deliveries per day);Number of opened APLs;Number of unserviced Customer Cells;Number of underutilized APLs;Total setup costs;Service Reliability;Demand Satisfaction Rate;Combined Reliability;Avg. daily delivery route ;Combined costs;Remark
1;Base Case;False;Neutral (10);1700m;5500;4000;15;250;39;10;5;214,500;0.8759;0.9895;0.9327;266044;214598.44;
2;Objective Function;True, c=1;Neutral (10);1700m;5500;4000;15;250;65;10;14;357,500;0.9757;0.9987;0.9872;275360;357601.88;Too many APLs
3;Objective Function;True, c= 0.001;Neutral (10);1700m;5500;4000;15;250;60;10;12;330,000;0.9771;0.999;0.98805;250596;330092.72;Too many APLs
4;Demand -;False;Pessimistic (1);1700m;5500;4000;15;250;34;10;5;187,000;0.6505;0.8772;0.76385;275360;187101.88;Bad reliability
5;Demand -;False;Pessimistic (5);1700m;5500;4000;15;250;36;10;5;198,000;0.7132;0.9104;0.8118;238079;198088.09;Bad reliability
6;Demand +;False;Optimistic (15);1700m;5500;4000;15;250;39;10;5;214,500;0.925;0.9941;0.95955;233348;214586.34;Better than base case
7;Demand +;False;Optimistic (20);1700m;5500;4000;15;250;41;10;3;225,500;0.9053;0.9747;0.94;250611;225592.73;Good alternative (slightly more expensive)
8;Max Walking Distance +;False;Neutral (10);2000m;5500;4000;15;250;35;2;1;192,500;0.8281;0.973;0.90055;210672;192577.95;Cheaper alternative (less reliable)
9;Max Walking Distance -;False;Neutral (10);1500m;5500;4000;15;250;41;25;5;225,500;0.8851;0.9712;0.92815;232588;225586.06;Good alternative (slightly more expensive)
10;APL Capacity -;False;Neutral (10);1700m;4125;3000;16;250;49;10;3;202,125;0.7633;0.902;0.83265;263178;202222.38;Bad reliability
11;APL Capacity +;False;Neutral (10);1700m;6875;5000;15;300;34;10;5;233,750;0.6696;0.9243;0.79695;206765;233826.5;Bad reliability
12;Heuristik;False;Not considered;1500m air distance;Not considered;4000;15;250;40;56;-;220,000;0.8477;0.8954;0.87155;173097;220064.05;More expensive, less reliable than base case
