from_customer;to_apl_100mN29649E43165;to_apl_100mN29661E43200;to_apl_100mN29630E43162;to_apl_100mN29665E43151;to_apl_100mN29606E43185;to_apl_100mN29633E43200;to_apl_100mN29671E43184;to_apl_100mN29638E43133;to_apl_100mN29611E43167;to_apl_100mN29644E43182;to_apl_100mN29645E43147;to_apl_100mN29683E43217;to_apl_100mN29641E43160;to_apl_100mN29631E43173;to_apl_100mN29655E43174;to_apl_100mN29631E43167;to_apl_100mN29617E43204;to_apl_100mN29658E43191;to_apl_100mN29684E43150;to_apl_100mN29638E43175;to_apl_100mN29647E43211;to_apl_100mN29643E43154;to_apl_100mN29608E43162;to_apl_100mN29648E43160;to_apl_100mN29660E43135;to_apl_100mN29658E43183;to_apl_100mN29622E43153;to_apl_100mN29637E43169;to_apl_100mN29678E43181;to_apl_100mN29621E43139;to_apl_100mN29682E43213;to_apl_100mN29677E43156;to_apl_100mN29624E43178;to_apl_100mN29608E43179;to_apl_100mN29655E43169;to_apl_100mN29646E43138;to_apl_100mN29652E43148;to_apl_100mN29667E43198;to_apl_100mN29677E43188;to_apl_100mN29644E43171;to_apl_100mN29636E43164;to_apl_100mN29655E43203;to_apl_100mN29634E43159;to_apl_100mN29646E43178;to_apl_100mN29628E43202;to_apl_100mN29664E43179;to_apl_100mN29625E43164;to_apl_100mN29663E43194;to_apl_100mN29599E43177;to_apl_100mN29647E43143;to_apl_100mN29667E43188;to_apl_100mN29610E43173;to_apl_100mN29606E43198;to_apl_100mN29633E43182;to_apl_100mN29654E43196;to_apl_100mN29653E43157;to_apl_100mN29665E43183;to_apl_100mN29629E43196;to_apl_100mN29637E43140;to_apl_100mN29682E43209
100mN29618E43131;6027.2;9598.6;3826.7;8494.2;7080.2;7863.4;9086.8;3759.5;4364.1;6729.1;4369.1;12513.5;4943.8;4954.1;7093.2;4224.0;8665.1;8467.1;10148.3;5503.9;9771.8;4661.6;4250.8;5462.1;8196.3;7941.9;2316.8;5050.9;9940.6;935.6;12088.7;8956.6;5465.9;5600.1;6695.8;4620.3;5264.9;9755.5;10089.7;5709.9;4539.9;9806.1;4154.7;6455.9;7850.3;8215.4;3687.2;9275.1;6484.8;4498.2;8915.5;4899.5;7983.8;5995.0;8964.6;5650.3;8416.2;7161.1;3257.3;11952.5
100mN29621E43131;5762.6;9872.9;4101.0;8180.6;7354.5;8137.7;9144.6;3026.7;4638.4;7003.4;4055.5;12787.8;4859.4;5228.4;7079.4;4498.3;8939.4;8741.4;9834.7;5778.2;10046.1;4348.0;4532.6;5317.5;6905.9;8070.4;2591.1;5325.2;9588.1;1170.6;12363.0;8643.0;5740.2;5874.4;6589.0;4172.8;4951.3;10029.8;10147.5;5984.2;4814.2;10080.4;4429.0;6730.3;8124.6;8219.7;3961.5;9549.4;6759.1;4084.9;8973.3;5173.9;8258.1;6269.3;9238.9;5336.6;8474.0;7435.4;2809.8;12226.8
100mN29623E43132;5659.0;9842.1;4070.2;8077.0;7323.7;8106.9;9041.0;2816.3;4607.7;6972.6;3951.8;12757.1;4755.7;5197.7;6975.7;4467.5;8908.7;8710.6;9731.1;5747.4;10015.3;4244.3;4501.8;5213.8;6695.5;7966.7;2560.3;5294.5;9484.5;1139.9;12332.2;8539.4;5709.5;5843.6;6485.4;4069.2;4847.6;9999.1;10043.9;5953.4;4783.4;10049.6;4398.2;6699.5;8093.8;8116.0;3930.7;9518.7;6728.3;3981.3;8869.6;5143.1;8227.3;6238.6;9208.2;5233.0;8370.4;7404.7;2706.2;12196.1
100mN29633E43131;4328.5;8537.5;3781.1;6746.5;7671.7;7618.9;7710.5;1877.9;4955.6;5669.1;2621.4;11452.5;3425.3;4748.2;5645.3;4079.2;8960.0;7406.0;8400.6;4754.9;9026.7;2913.9;4948.5;3883.4;6230.5;6636.3;2891.4;4178.1;8154.0;1661.7;11027.6;7208.9;5687.3;6191.6;5154.9;2738.7;3517.2;8694.5;8713.4;4537.1;3571.0;8745.0;3223.8;5395.9;7776.4;6785.6;3982.0;8214.1;7076.3;2650.8;7539.2;5491.0;8278.7;5571.5;7903.6;3902.5;7039.9;7087.3;1375.7;10891.4
100mN29636E43131;4099.6;8308.6;3816.4;6321.8;7954.7;7654.2;7481.6;1205.3;5238.7;5704.3;2104.2;11223.5;3460.6;4783.5;5410.2;4114.5;9243.1;7177.1;7975.9;4790.1;9015.1;2598.8;5231.5;3654.5;5355.8;6407.3;3174.5;4213.4;7729.3;2788.6;10798.7;6784.2;5722.6;6474.6;4919.9;2128.5;3000.0;8465.5;8101.3;4572.4;3606.3;8516.1;3259.1;5431.2;7811.7;6553.0;4265.1;7985.1;7359.3;2040.6;7310.2;5774.1;8561.7;5606.8;7674.6;3477.8;6811.0;7122.6;941.8;10662.5
100mN29639E43131;4001.8;8210.8;3890.7;6224.0;8033.4;7728.5;7383.8;130.3;5317.3;5778.7;2006.4;11125.7;3566.3;4857.8;5312.4;4188.8;9321.7;7079.3;7878.1;4864.5;8917.3;2501.0;5310.1;3556.7;4957.7;6309.5;3253.1;4287.7;7631.5;2867.2;10700.9;6686.4;5796.9;6553.2;4822.1;1949.2;2902.2;8367.8;8003.5;4539.8;3680.6;8418.3;3333.4;5469.2;7886.0;6455.2;4343.7;7887.4;7437.9;1942.8;7212.4;5852.7;8640.4;5681.1;7576.9;3380.0;6713.2;7196.9;1020.5;10564.7
100mN29641E43131;3941.6;8150.6;3923.2;6163.7;8510.7;7761.1;7323.6;619.3;5823.4;5811.2;1946.2;11065.5;3506.0;4890.3;5252.1;4221.3;9337.8;7019.0;7548.3;4897.0;8857.1;2440.8;5947.8;3496.4;4495.7;6249.3;3890.8;4320.2;7571.3;3504.9;10640.7;6626.2;5829.4;7030.5;4761.8;1506.3;2841.9;8307.5;7943.2;4479.5;3713.1;8358.1;3365.9;5408.9;7918.5;6395.0;4457.0;7827.1;7944.1;1882.5;7152.2;6341.7;8656.5;5713.6;7516.6;3319.8;6652.9;7229.4;1658.2;10504.5
100mN29647E43132;3728.4;7738.8;4393.8;5547.3;8981.2;7794.0;6808.0;1654.1;6294.0;5604.4;1721.3;10653.8;3292.8;5132.5;4720.5;4625.6;9463.5;6607.3;6816.7;4898.4;8547.5;2556.3;6589.7;3267.2;3764.0;5816.2;4678.5;4430.3;7024.9;4292.6;10191.6;6079.7;6142.4;7501.1;4230.2;672.9;1900.0;7895.8;7396.8;4266.3;4029.6;7946.4;3836.4;5099.4;8028.7;5848.6;4927.5;7415.4;8414.6;1312.6;6719.1;6812.2;9092.4;5823.8;7104.9;2773.3;6199.8;7339.6;2445.9;10055.4
100mN29657E43131;3933.7;7898.5;5215.8;2341.7;10031.1;8213.9;6380.4;4430.3;7424.8;5781.2;3629.7;10505.2;4077.1;5911.5;4521.7;5404.5;10196.5;6767.0;4334.2;5405.1;8724.3;3900.8;7763.3;3475.3;681.3;5654.3;6157.1;5209.3;6460.5;7000.2;9932.6;4503.4;6921.3;8551.0;4048.1;3927.9;2935.4;7645.8;6832.5;4773.0;4808.6;8106.0;4701.6;5276.2;8524.2;5420.9;5725.2;7484.4;9519.7;3844.9;6327.0;7942.2;9876.7;6599.3;7264.5;2875.1;5772.2;7835.0;4940.6;9762.2
100mN29660E43131;4402.3;8367.1;5684.5;2604.2;10499.7;8682.6;6849.0;4483.0;7893.4;6249.8;4098.4;10973.8;4545.8;6380.1;4990.4;5873.2;10665.1;7235.6;4076.5;5873.8;9193.0;4369.4;8232.0;3943.9;820.9;6123.0;6625.7;5678.0;6929.2;7272.4;10401.2;4263.4;7390.0;9019.6;4516.7;3980.6;3404.1;8114.4;7301.1;5241.7;5277.2;8574.6;5170.3;5744.8;8992.8;5889.6;6193.8;7953.0;9988.3;4313.6;6795.7;8410.8;10345.3;7068.0;7733.2;3343.8;6240.8;8303.7;5409.2;10230.9
